cip6,soc6,naics6
NA,17-2199,236220
NA,39-9031,453998
31.0501,Nov-98,112111
NA,39-9031,624410
52.1401,41-1012,561730
9.0902,43-6014,611110
1.0901,25-3097,NA
40.0501,19-2031,922120
NA,29-2018,NA
24.0102,43-6014,NA
9.01,53-6041,NA
14.1901,17-2141,541330
NA,29-1141,NA
51.3801,29-1141,622110
51.3801,29-1141,NA
51.3801,29-1141,NA
9.0701,11-Nov,NA
NA,11-Nov,NA
31.0501,25-9044,611310
50.0705,25-1099,451120
42.0101,99-9999,611310
5.021,29-1122,611310
1.1201,21-Nov,445299
NA,Nov-32,211120
52.0201,11-1011,NA
52.0213,27-4021,NA
NA,27-2012,NA
26.1302,29-2018,NA
51.3801,29-1141,NA
52.1401,21-Nov,NA
42.0101,25-9044,611310
42.0101,99-9999,611310
45.0601,43-4131,NA
51.3801,29-1141,NA
14.0801,17-2051,NA
9.0402,27-3023,NA
9.0102,Nov-98,NA
42.0101,25-9044,611310
51.0203,21-1012,611310
31.0501,17-2071,236210
NA,41-9021,531390
11.0701,43-4051,511210
51.3801,29-1141,NA
NA,15-1232,NA
9.0402,27-3041,NA
NA,41-4012,541618
45.0601,25-1099,611110
52.0101,13-2098,541191
51.0202,25-9044,611310
NA,49-9071,611310
51.3801,29-1141,NA
51.3801,39-9011,NA
9.0402,13-1198,NA
24.0102,43-6014,238170
52.1001,11-Nov,NA
54.0101,43-6014,561790
52.0101,53-3032,NA
51.3801,29-1141,NA
51.3801,29-1141,NA
52.0213,43-3051,NA
52.1401,31-9092,NA
45.1101,43-1011,NA
19.0707,99-9999,NA
9.0701,27-2012,NA
42.0101,27-1024,541990
45.0601,25-1099,611110
52.0201,43-6014,621210
51.3801,29-1141,NA
31.0501,43-6013,621111
30,13-1198,NA
51.3801,29-1141,NA
45.0701,27-4021,541921
NA,43-1011,622110
27.0101,25-1099,NA
42.0101,21-1021,624110
51.3801,29-1141,NA
9.01,11-1021,NA
52.0201,11-1011,NA
42.0101,25-9044,611310
NA,43-3071,NA
14.3501,11-1011,NA
42.0101,21-1093,NA
13.0101,45-2093,NA
51.3801,29-1141,621493
51.3801,29-1141,NA
45.0401,39-9032,813990
51.3801,29-1171,621111
NA,13-2041,NA
NA,53-7062,211120
44.0701,21-1093,624110
52.0201,43-3071,NA
51.3801,29-1141,NA
30,11-Nov,541690
NA,99-9999,621420
43.0102,29-2056,541940
9.01,99-9999,NA
NA,99-9999,NA
NA,11-1011,NA
52.0201,25-9045,611310
NA,43-4131,NA
52.0201,29-2052,622110
NA,43-6014,423840
51.3801,29-1141,NA
51.3801,29-1141,NA
NA,29-1124,NA
51.3801,29-1141,NA
NA,11-1021,238210
51.3801,29-1141,NA
15.0407,17-2051,541330
NA,25-2031,NA
31.0501,99-9999,611310
14.0901,15-1211,611310
51.3801,29-1141,NA
51.3801,Nov-31,522110
52.0213,43-6014,561920
43.0102,43-9061,NA
51.3801,29-1141,NA
11.0701,15-1232,611110
9.0402,27-3023,NA
31.0501,39-9031,622310
19.0504,25-9044,611310
52.1401,27-2012,NA
52.0201,19-5011,236210
40.0202,49-3011,NA
50.0705,99-9999,NA
51.3801,29-1141,622110
52.0201,43-4111,NA
42.0101,99-9999,611310
NA,43-9061,NA
51.3801,29-1141,NA
43.01,33-3051,NA
52.0201,43-3071,NA
52.1401,17-2071,236210
9.0401,27-3023,NA
51.3801,29-1141,NA
43.0102,21-1099,NA
45.0401,99-9999,NA
9.0903,41-9099,NA
NA,25-9044,611310
42.0101,99-9999,611310
50.0409,99-9999,611699
9.0102,39-9031,NA
42.0101,99-9999,611310
24.0102,11-1021,NA
31.0501,39-9031,611310
52.0201,43-6011,517311
51.3801,29-1141,NA
31.0501,39-9031,611310
NA,11-1011,722511
NA,99-9999,611310
52.0201,43-4131,NA
52.0803,13-2072,NA
44,21-1093,NA
51.3801,29-1141,NA
52.0801,Nov-31,NA
52.0201,27-3031,622110
52.0801,11-1021,541611
52.0801,Nov-31,NA
52.0201,35-3031,721110
42.0101,19-4099,611310
52.0201,47-2031,236115
9.0701,27-3023,NA
13.0101,13-2072,NA
50.0401,43-3071,NA
42.0101,27-2022,611310
11.0701,43-4051,511210
45.0601,53-7062,NA
51.3801,25-1099,NA
52.0201,13-1161,541613
31.0501,25-2031,NA
23.0101,15-2031,211120
13.0101,13-2072,NA
NA,43-4051,522130
9.0903,99-9999,722410
30,43-1011,NA
9.01,25-2021,NA
42.0101,21-1093,NA
52.0801,13-2061,NA
14.1901,17-2141,236210
27.0101,15-1232,NA
31.0501,29-1071,621111
52.0201,11-1011,NA
19.0701,43-1011,524210
52.0201,13-2072,NA
52.1401,11-1011,NA
43.01,13-2098,NA
52.0101,43-3071,NA
52.0201,11-1021,NA
51.3801,29-1141,NA
52.0201,13-1198,561740
50.0605,19-1012,NA
42.0101,21-1093,NA
19.0706,99-9999,611310
23.1301,43-3011,NA
50.0901,25-1099,NA
31.0501,43-6013,NA
30,41-3091,524210
26.0101,19-1031,924110
51.3801,29-2053,NA
52.1401,27-4032,NA
52.0803,13-2041,NA
24.0102,13-1041,NA
52.0201,43-4141,NA
19.0701,Nov-98,332999
13.1312,Nov-98,NA
52.0201,27-2022,611310
14.1901,17-2141,NA
52.1101,13-2072,NA
50.0605,25-3097,611310
4.0201,17-3098,NA
42.0101,25-9044,611310
14.4801,49-9071,541690
14.0801,17-1022,541370
52.0801,13-2072,NA
50.0401,49-1011,NA
14.0801,17-2051,541370
NA,27-2022,NA
NA,13-1151,NA
52.0201,Nov-61,236210
52.0803,Nov-31,NA
13.0101,25-9045,611110
45.0601,43-3071,NA
14.1901,17-2141,236210
9.0701,Nov-31,511210
31.0501,11-Nov,928110
9.01,13-1198,213112
43.01,49-1011,928110
9.01,11-1011,NA
31.0504,27-2022,611310
45.0601,15-1299,424690
44.0701,21-1093,NA
42.0101,43-9061,611310
51.3801,29-1141,NA
51.3801,29-1141,NA
52.1101,Nov-31,NA
43.0102,47-5071,NA
52.0201,Nov-31,NA
50.0701,43-4081,NA
51.3801,29-1141,NA
52.1001,21-1093,NA
51.3801,29-1141,NA
43.0102,43-6014,448140
19.0504,99-9999,611310
52.0201,47-1011,238220
54.0101,43-1011,238170
60.073,47-2152,236210
13.1001,41-2011,445110
NA,25-3031,NA
19.0701,21-1093,NA
51.3801,29-1141,NA
9.01,21-2021,NA
51.3801,29-1141,NA
54.0102,39-9011,624110
52.0803,43-3071,NA
NA,29-2034,NA
52.0201,11-1021,NA
51.1201,11-1011,NA
50.0708,11-1011,NA
NA,43-6013,622310
42.0101,99-9999,611310
9.0402,33-3051,NA
45.0601,13-2041,NA
26.0101,19-1023,NA
NA,27-2022,713940
