,learn,pumaid,educ,hours,state,Y,W
0,11.91839,4400100,18,50,44,11.91839,TRUE
1,11.48247,4400100,11,42,44,11.48247,FALSE
2,10.4631,4400100,12,42,44,10.4631,FALSE
3,10.22194,4400100,13,40,44,10.22194,TRUE
4,9.21034,4400100,13,8,44,9.21034,TRUE
5,10.08581,4400100,18,40,44,10.08581,TRUE
6,6.684612,4400100,12,35,44,6.684612,FALSE
7,10.18867,4400100,16,60,44,10.18867,TRUE
8,10.35137,4400100,12,40,44,10.35137,FALSE
9,9.903487,4400100,11,40,44,9.903487,FALSE
10,9.305651,4400100,12,40,44,9.305651,FALSE
11,9.25913,4400100,13,40,44,9.25913,TRUE
12,9.392662,4400100,16,42,44,9.392662,TRUE
13,9.680344,4400100,12,40,44,9.680344,FALSE
14,8.411833,4400100,16,70,44,8.411833,TRUE
15,10.04325,4400100,13,40,44,10.04325,TRUE
16,9.472705,4400100,11,40,44,9.472705,FALSE
17,10.30895,4400100,13,24,44,10.30895,TRUE
18,10.59663,4400100,12,55,44,10.59663,FALSE
19,11.87757,4400100,11,50,44,11.87757,FALSE
20,11.06664,4400100,16,40,44,11.06664,TRUE
21,9.169518,4400100,12,40,44,9.169518,FALSE
22,9.560997,4400100,13,20,44,9.560997,TRUE
23,10.08581,4400100,13,40,44,10.08581,TRUE
24,10.40426,4400100,14,40,44,10.40426,TRUE
25,11.91839,4400100,12,60,44,11.91839,FALSE
26,9.680344,4400100,9,40,44,9.680344,FALSE
27,5.192957,4400100,12,40,44,5.192957,FALSE
28,10.08581,4400100,10,40,44,10.08581,FALSE
29,9.798127,4400100,12,25,44,9.798127,FALSE
30,9.472705,4400100,12,40,44,9.472705,FALSE
31,9.392662,4400100,11,40,44,9.392662,FALSE
32,9.392662,4400100,11,40,44,9.392662,FALSE
33,10.81978,4400100,14,48,44,10.81978,TRUE
34,7.495542,4400100,11,30,44,7.495542,FALSE
35,11.71178,4400100,18,50,44,11.71178,TRUE
36,10.30895,4400100,12,40,44,10.30895,FALSE
37,10.12663,4400100,12,40,44,10.12663,FALSE
38,8.34284,4400100,14,40,44,8.34284,TRUE
39,8.748305,4400100,13,32,44,8.748305,TRUE
40,9.55393,4400100,12,40,44,9.55393,FALSE
41,9.546813,4400100,11,50,44,9.546813,FALSE
42,9.903487,4400100,0,40,44,9.903487,FALSE
43,9.903487,4400100,11,40,44,9.903487,FALSE
44,9.740969,4400100,0,40,44,9.740969,FALSE
45,9.680344,4400100,0,40,44,9.680344,FALSE
46,10.16585,4400100,9,60,44,10.16585,FALSE
47,9.903487,4400100,13,65,44,9.903487,TRUE
48,9.546813,4400100,12,24,44,9.546813,FALSE
49,9.680344,4400100,10,12,44,9.680344,FALSE
50,8.294049,4400100,12,30,44,8.294049,FALSE
51,11.11245,4400100,16,60,44,11.11245,TRUE
52,10.12663,4400100,13,40,44,10.12663,TRUE
53,7.600903,4400100,13,40,44,7.600903,TRUE
54,10.4631,4400100,18,40,44,10.4631,TRUE
55,10.23996,4400100,12,72,44,10.23996,FALSE
56,10.20359,4400100,13,45,44,10.20359,TRUE
57,10.859,4400100,16,40,44,10.859,TRUE
58,9.798127,4400100,7.5,40,44,9.798127,FALSE
59,9.615806,4400100,12,40,44,9.615806,FALSE
60,9.588777,4400100,10,40,44,9.588777,FALSE
61,9.814656,4400100,12,40,44,9.814656,FALSE
62,6.907755,4400100,13,30,44,6.907755,TRUE
63,9.400961,4400100,13,30,44,9.400961,TRUE
64,10.16585,4400100,16,40,44,10.16585,TRUE
65,9.277999,4400100,13,45,44,9.277999,TRUE
66,10.37349,4400100,14,50,44,10.37349,TRUE
67,9.998797,4400100,12,50,44,9.998797,FALSE
68,10.04325,4400100,12,50,44,10.04325,FALSE
69,10.30895,4400100,18,37,44,10.30895,TRUE
70,9.798127,4400100,14,40,44,9.798127,TRUE
71,8.006368,4400100,12,40,44,8.006368,FALSE
72,7.003066,4400100,13,20,44,7.003066,TRUE
73,10.27505,4400100,18,40,44,10.27505,TRUE
74,9.998797,4400100,14,40,44,9.998797,TRUE
75,6.802395,4400100,13,40,44,6.802395,TRUE
76,8.536996,4400100,13,15,44,8.536996,TRUE
77,9.609117,4400100,12,45,44,9.609117,FALSE
78,10.20359,4400100,12,40,44,10.20359,FALSE
79,9.332558,4400100,13,30,44,9.332558,TRUE
80,10.12663,4400100,16,55,44,10.12663,TRUE
81,10.62133,4400100,14,40,44,10.62133,TRUE
82,9.998797,4400100,12,45,44,9.998797,FALSE
83,8.748305,4400100,10,35,44,8.748305,FALSE
84,10.4631,4400100,14,70,44,10.4631,TRUE
85,9.615806,4400100,10,40,44,9.615806,FALSE
86,9.10498,4400100,18,24,44,9.10498,TRUE
87,9.740969,4400100,14,40,44,9.740969,TRUE
88,10.12663,4400100,12,40,44,10.12663,FALSE
89,10.64304,4400100,16,40,44,10.64304,TRUE
90,9.903487,4400100,12,45,44,9.903487,FALSE
91,10.81978,4400100,13,40,44,10.81978,TRUE
92,11.0021,4400100,13,40,44,11.0021,TRUE
93,9.903487,4400100,5.5,50,44,9.903487,FALSE
94,9.798127,4400100,12,40,44,9.798127,FALSE
95,10.66195,4400100,18,50,44,10.66195,TRUE
96,10.87805,4400100,16,35,44,10.87805,TRUE
97,10.49127,4400100,10,40,44,10.49127,FALSE
98,8.987197,4400100,10,40,44,8.987197,FALSE
99,9.546813,4400100,7.5,40,44,9.546813,FALSE
100,9.836279,4400100,13,60,44,9.836279,TRUE
101,10.16585,4400100,16,40,44,10.16585,TRUE
102,9.711116,4400100,13,32,44,9.711116,TRUE
103,10.59663,4400100,7.5,50,44,10.59663,FALSE
104,9.798127,4400100,12,50,44,9.798127,FALSE
105,7.313221,4400100,12,45,44,7.313221,FALSE
106,10.72985,4400100,18,45,44,10.72985,TRUE
107,9.680344,4400100,12,40,44,9.680344,FALSE
108,9.49552,4400100,10,40,44,9.49552,FALSE
109,11.60824,4400100,18,60,44,11.60824,TRUE
110,10.37349,4400100,12,40,44,10.37349,FALSE
111,9.740969,4400100,12,40,44,9.740969,FALSE
112,8.517193,4400100,9,30,44,8.517193,FALSE
113,10.81978,4400100,18,32,44,10.81978,TRUE
